commit_hash,status,affected_libs_or_binary,affected_files,affected_functions
a5d44d5c220e12ca0cb7a4eceb0f74759cb13111,,libswscale,libswscale/utils.c,sws_init_context
21cd905cd44a4bbafe8631bbaa6021d328413ce5,,libswresample,libswresample/swresample.c,swr_init
7edb984dd051b6919d7d8471c70499273f31b0fa,,libavutil,libavutil/log.c,format_line
c94f9e854228e0ea00e1de8769d8d3f7cab84a55,,libavutil,libavutil/mem.c,av_reallocp_array
cc0dd86580b3257f22a4981a79eb5fa6804182b6,,libavutil,libavutil/log.c,format_line
96f24d1bee7fe7bac08e2b7c74db1a046c9dc0de,,libavformat,libavformat/rl2.c,rl2_read_header
95556e27e2c1d56d9e18f5db34d6f756f3011148,,libavformat,libavformat/movenc.c,handle_eac3
9cb4eb772839c5e1de2855d126bf74ff16d13382,,libavformat,libavformat/mov.c,read_tfra
9807d3976be0e92e4ece3b4b1701be894cd7c2e1,,libavformat,libavformat/pva.c,read_part_of_packet
6b67d7f05918f7a1ee8fc6ff21355d7e8736aa10,,libavformat,libavformat/flvenc.c,flv_write_packet
8312e3fc9041027a33c8bc667bb99740fdf41dd5,,libavformat,libavformat/ape.c,ape_read_header
3a2d21bc5f97aa0161db3ae731fc2732be6108b8,,libavformat,libavformat/movenc.c,ff_mov_write_packet
7d57ca4d9a75562fa32e40766211de150f8b3ee7,,libavformat,libavformat/rtmppkt.c,rtmp_packet_read_one_chunk
c42a1388a6d1bfd8001bf6a4241d8ca27e49326d,,libavformat,libavformat/rtpdec_h264.c,sdp_parse_fmtp_config_h264
10416a4d56fa8a89784e4fb62099c3cab17a9952,n,libavformat,libavformat/id3v2.c,ff_id3v2_parse
afc9c683ed9db01edb357bc8c19edad4282b3a97,,libavformat,libavformat/asfdec_f.c,asf_build_simple_index
a6cba062051f345e8ebfdff34aba071ed73d923f,,libavformat,libavformat/img2dec.c,svg_probe
c41ac870470c614185e1752c11f892809022248a,,libavformat,libavformat/avidec.c,
a7e032a277452366771951e29fd0bf2bd5c029f0,,libavformat,libavformat/rmdec.c,rm_read_multi
7c0b84d89911b2035161f5ef51aafbfcc84aa9e2,,libavformat,libavformat/asfenc.c,asf_write_packet
c898431ca5ef2a997fe9388b650f658fb60783e5,n,libavformat,libavformat/nsvdec.c,nsv_read_header
124eb202e70678539544f6268efc98131f19fa49,,libavformat,libavformat/rmdec.c,ivr_read_header
7e80b63ecd259d69d383623e75b318bf2bd491f6,,libavformat,libavformat/cinedec.c,cine_read_header
c2a2ad133eb9d42361804a568dee336992349a5e,,libavformat,libavformat/rtpdec_asf.c,asfrtp_parse_packet
c24bcb553650b91e9eff15ef6e54ca73de2453b7,,libavformat,libavformat/nsvdec.c,nsv_parse_NSVf_header
689e59b7ffed34eba6159dcc78e87133862e3746,,libavformat,libavformat/mov.c,mov_read_dref
4f05e2e2dc1a89f38cd9f0960a6561083d714f1e,,libavformat,libavformat/mvdec.c,mv_read_header
9d00fb9d70ee8c0cc7002b89318c5be00f1bbdad,,libavformat,libavformat/mxfdec.c,mxf_read_primer_pack
ffcc82219cef0928bed2d558b19ef6ea35634130,,libavformat,libavformat/rtmppkt.c,ff_amf_tag_size
fa19fbcf712a6a6cc5a5cfdc3254a97b9bce6582,,libavformat,libavformat/movenc.c,mov_write_audio_tag
2b46ebdbff1d8dec7a3d8ea280a612b91a582869,,libavformat,libavformat/asfdec_o.c,parse_video_info
3ebd76a9c57558e284e94da367dd23b435e6a6d0,,libavformat,libavformat/mov.c,mov_read_default
bab0716c7f4793ec42e05a5aa7e80d82a0dd4e75,,libavformat,libavformat/mxfdec.c,mxf_parse_structural_metadata
a5d849b149ca67ced2d271dc84db0bc95a548abb,,libavformat,libavformat/avidec.c,read_gab2_sub
ed22dc22216f74c75ee7901f82649e1ff725ba50,,libavformat,libavformat/movenc.c,handle_eac3
7f9ec5593e04827249e7aeb466da06a98a0d7329,,libavformat,libavformat/asfdec_f.c,asf_read_marker
ae21776207e8a2bbe268e7c9e203f7599dd87ddb,,libavfilter,libavfilter/avfilter.c,avfilter_filter_samples
35eeff30caf34df835206f1c12bcf4b7c2bd6758,,libavfilter,libavfilter/vf_signature.c,export
cdd5df8189ff1537f7abe8defe971f80602cc2d2,,libavfilter,libavfilter/vf_fps.c,filter_frame
3f621455d62e46745453568d915badd5b1e5bcd5,,libavfilter,libavfilter/vf_transpose.c,config_props_output
f1a38264f20382731cf2cc75fdd98f4c9a84a626,,libavcodec,libavcodec/pthread_frame.c,ff_frame_thread_init
c919e1ca2ecfc47d796382973ba0e48b8f6f92a2,,libavcodec,libavcodec/msrle.c,msrle_decode_frame
f58eab151214d2d35ff0973f2b3e51c5eb372da4,,libavcodec,libavcodec/takdec.c,tak_decode_frame
79ceaf827be0b070675d4cd0a55c3386542defd8,,libavcodec,libavcodec/pngdec.c,decode_ihdr_chunk
85a14dbd5dca34320f58b1ba11dd6dd0df4fb3be,n,libavcodec,libavcodec/adpcm.c,adpcm_decode_frame
880c73cd76109697447fbfbaa8e5ee5683309446,,libavcodec,libavcodec/flashsv.c,flashsv_decode_frame
2171dfae8c065878a2e130390eb78cf2947a5b69,,libavcodec,libavcodec/scpr.c,decode_unit
cca9528524c7a4b91451f4322bd50849af5d057e,,libavcodec,libavcodec/mpegaudiodec.c,decode_frame_mp3on4
365270aec5c2b9284230abc702b11168818f14cf,,libavcodec,libavcodec/sanm.c,old_codec37
c727401aa9d62335e89d118a5b4e202edf39d905,,libavcodec,libavcodec/smc.c,
1f99939a6361e2e6d6788494dd7c682b051c6c34,,libavcodec,libavcodec/j2k_dwt.c,ff_j2k_dwt_init
e371f031b942d73e02c090170975561fabd5c264,,libavcodec,libavcodec/pngdec.c,decode_zbuf
b3a43515827f3d22a881c33b87384f01c86786fd,,libavcodec,libavcodec/wmalosslessdec.c,decode_channel_residues
00e8181bd97c834fe60751b0c511d4bb97875f78,,libavcodec,libavcodec/ac3_parser.c,avpriv_ac3_parse_header
d227ed5d598340e719eff7156b1aa0a4469e9a6a,,libavcodec,libavcodec/mpeg4videodec.c,mpeg4_decode_studio_block
9547034f9120187e23ad76424dd4d70247e62212,n,libavcodec,libavcodec/gifdec.c,gif_copy_img_rect
20c121c00747d6c3b0b0f98deeff021171b2ed74,n,libavcodec,libavcodec/ass_split.c,ff_ass_split_override_codes
c20f4fcb74da2d0432c7b54499bb98f48236b904,,libavcodec,libavcodec/ffv1dec.c,read_header
f18c873ab5ee3c78d00fdcc2582b39c133faecb4,n,libavcodec,libavcodec/adpcm.c,adpcm_decode_frame
c5cbda50793e311aa73489d12184ffd6761c9fbf,,libavcodec,libavcodec/cavsdec.c,get_ue_code
fabbfaa095660982cc0bc63242c459561fa37037,,libavcodec,libavcodec/mjpegdec.c,
df91aa034b82b77a3c4e01791f4a2b2ff6c82066,,libavcodec,libavcodec/ivi.c,ff_ivi_init_planes
e1b60aad77c27ed5d4dfc11e5e6a05a38c70489d,,libavcodec,libavcodec/cdxl.c,cdxl_decode_frame
f5955d9f6f9ffdb81864c3de1c7b801782a55725,n,libavcodec,libavcodec/targa.c,advance_line
e1182fac1afba92a4975917823a5f644bee7e6e8,,libavcodec,libavcodec/mpeg4videoenc.c,ff_set_mpeg4_time
8bb11c3ca77b52e05a9ed1496a65f8a76e6e2d8f,,libavcodec,libavcodec/jpeg2000dec.c,get_siz
bdeb61ccc67911cfc5e20c7cfb1312d0501ca90a,,libavcodec,libavcodec/h264_ps.c,ff_h264_decode_seq_parameter_set
3e2b745020c2dbf0201fe7df3dad9e7e0b2e1bb6,,libavcodec,libavcodec/pngdec.c,decode_frame
611b35627488a8d0763e75c25ee0875c5b7987dd,,libavcodec,libavcodec/dnxhd_parser.c,dnxhd_find_frame_end
eaa9d2cd6b8c1e2722d5bfc56ea67fde865200ce,n,libavcodec,libavcodec/h264.c,field_end
3ef1538121fa6daeb1767510f1d4ae2c306c9fec,n,libavcodec,libavcodec/h264.c,decode_slice_header
7ac5067146613997bb38442cb022d7f41321a706,,libavcodec,libavcodec/scpr.c,decompress_i
25715064c2ef4978672a91f8c856f3e8809a7c45,,libavcodec,libavcodec/cavsdec.c,decode_pic
5e59a77cec804a9b44c60ea22c17beba6453ef23,,libavcodec,libavcodec/vc1dec.c,vc1_decode_frame
abc1fa7c5a1dca1345b9471b81cfcda00c56220d,,libavcodec,libavcodec/iff.c,decode_frame
4a9af07a49295e014b059c1ab624c40345af5892,,libavcodec,libavcodec/smacker.c,smka_decode_frame
1f686d023b95219db933394a7704ad9aa5f01cbb,,libavcodec,libavcodec/mpeg4videodec.c,decode_studio_vop_header
21270cffaeab2f67a613907516b2b0cd6c9eacf4,,libavcodec,libavcodec/mpegvideo.c,MPV_frame_start
2837d8dc276760db1821b81df3f794a90bfa56e6,,libavcodec,libavcodec/alsdec.c,read_var_block_data
c459c7b23efffab762560e41ad6a2c0dbbfd4915,n,libavcodec,libavcodec/aacdec.c,aac_decode_init
31c1c0b46a7021802c3d1d18039fca30dba5a14e,,libavcodec,libavcodec/dnxhd_parser.c,dnxhd_find_frame_end
3197c0aa87a3b7190e17d49e6fbc7b554e4b3f0a,,libavcodec,libavcodec/rv34.c,ff_rv34_decode_init_thread_copy
a7ee6281f7ef1c29284e3a4cadfe0f227ffde1ed,n,libavcodec,libavcodec/qdm2.c,
944f5b2779e4aa63f7624df6cd4de832a53db81b,,libavcodec,libavcodec/aacsbr.c,sbr_qmf_synthesis
3030fb7e0d41836f8add6399e9a7c7b740b48bfd,,libavcodec,libavcodec/vmdvideo.c,vmd_decode
2502914c5f8eb77659d7c0868396862557a63245,n,libavcodec,libavcodec/atrac3.c,atrac3_decode_init
1285baaab550e3e761590ef6dfb1d9bd9d1332e4,,libavcodec,libavcodec/smacker.c,smacker_decode_header_tree
441026fcb13ac23aa10edc312bdacb6445a0ad06,,libavcodec,libavcodec/xwddec.c,xwd_decode_frame
13451f5520ce6b0afde861b2285dda659f8d4fb4,n,libavcodec,libavcodec/atrac3.c,atrac3_decode_init
0aada30510d809bccfd539a90ea37b61188f2cb4,,libavcodec,libavcodec/jpeg2000dec.c,jpeg2000_decode_tile
780669ef7c23c00836a24921fcc6b03be2b8ca4a,,libavcodec,libavcodec/jpeg2000dec.c,get_siz
cb7190cd2c691fd93e4d3664f3fce6c19ee001dd,n,libavcodec,libavcodec/rv34.c,ff_rv34_decode_frame
4cd1dad91ae97fe1f0dd534c3f5566787566f137,n,libavcodec,libavcodec/utils.c,avcodec_decode_audio4
97a5addfcf0029d0f5538ed70cb38cae4108a618,,libavcodec,libavcodec/wmaprodec.c,decode_subframe
6d8e6fe9dbc365f50521cf0c4a5ffee97c970cb5,,libavcodec,libavcodec/dpcm.c,dpcm_decode_frame
a0abefb0af64a311b15141062c77dd577ba590a3,,libavcodec,libavcodec/wmalosslessdec.c,
3eedf9f716733b3b4c5205726d2c1ca52b3d3d78,,libavcodec,libavcodec/j2kdec.c,get_sot
ec9578d54d09b64bf112c2bf7a34b1ef3b93dbd3,,libavcodec,libavcodec/wmalosslessdec.c,
d1c95d2ce39560e251fdb14f4af91b04fd7b845c,,libavcodec,libavcodec/dfa.c,decode_wdlt
247d30a7dba6684ccce4508424f35fd58465e535,,libavcodec,libavcodec/vp3.c,vp3_update_thread_context
d6c184880ee2e09fd68c0ae217173832cee5afc1,n,libavcodec,libavcodec/h264.c,decode_slice_header
39bbdebb1ed8eb9c9b0cd6db85afde6ba89d86e4,,libavcodec,libavcodec/sanm.c,destroy_buffers
e8714f6f93d1a32f4e4655209960afcf4c185214,,libavcodec,libavcodec/h264.c,ff_h264_free_tables
3920d1387834e2bc334aff9f518f4beb24e470bd,n,libavcodec,libavcodec/alac.c,alac_decode_close
86736f59d6a527d8bc807d09b93f971c0fe0bb07,,libavcodec,libavcodec/pngdsp.c,
7ef2dbd2392e3e4d430e0173e1e5c4df9f18b6dd,,libavcodec,libavcodec/cdgraphics.c,cdg_decode_frame
3e196e4def03c7a91423803402f84d638d316c33,n,libavcodec,libavcodec/error_resilience.c,ff_er_frame_end
f7068bf277a37479aecde2832208d820682b35e6,,libavcodec,libavcodec/alac.c,allocate_buffers
93f30f825c08477fe8f76be00539e96014cc83c8,,libavcodec,libavcodec/hevc_ps.c,ff_hevc_parse_sps
5257743aee0c3982f0079e6553aabc6aa39401d2,,libavcodec,libavcodec/ws-snd1.c,ws_snd_decode_frame
43492ff3ab68a343c1264801baa1d5a02de10167,,libavcodec,libavcodec/jpeg2000dec.c,init_tile
f0bf9e9c2a65e9a2b9d9e4e94f99acb191dc7ae7,,libavcodec,libavcodec/ivi_common.c,ff_ivi_process_empty_tile
eef5c35b4352ec49ca41f6198bee8a976b1f81e5,,libavcodec,libavcodec/vp3.c,vp3_dequant
83c7803f55b3231faeb93c1a634399a70fae9480,,libavcodec,libavcodec/lagarith.c,lag_decode_zero_run_line
14c8ee00ffd9d45e6e0c6f11a957ce7e56f7eb3a,n,libavcodec,libavcodec/vp3.c,vp3_decode_frame
c0d68be555f5858703383040e04fcd6529777061,n,libavcodec,libavcodec/pgssubdec.c,parse_picture_segment
01bf2ad7351fdaa2e21b6bdf963d22d6ffccb920,,libavcodec,libavcodec/indeo4.c,decode_frame
63ac64864c6e0e84355aa3caa5b92208997a9a8d,n,libavcodec,libavcodec/eamad.c,decode_frame
3ae610451170cd5a28b33950006ff0bd23036845,n,libavcodec,libavcodec/roqvideodec.c,roq_decode_init
7ee5e97c46e30fb3d6f9f78cc3313dbc06528b37,,libavcodec,libavcodec/gifdec.c,gif_decode_frame
72b9537d8886f679494651df517dfed9b420cf1f,,libavcodec,libavcodec/dfa.c,decode_dds1
91d5da9321c52e8197fb14046ebb335f3e6ff4a0,,libavcodec,libavcodec/cavsdec.c,get_ue_code
a1b9004b768bef606ee98d417bceb9392ceb788d,,libavcodec,libavcodec/jpeg2000dec.c,get_cox
89e16e675d3cbe76cf4581f98bf4ac300cab0286,n,libavcodec,libavcodec/sanm.c,old_codec47
c77be3a35a0160d6af88056b0899f120f2eef38e,,libavcodec,libavcodec/error_resilience.c,decode_mb
9af6abdc17deb95c9b1f1d9242ba49b8b5e0b016,,libavcodec,libavcodec/atrac3.c,
608708009f69ba4cecebf05120c696167494c897,,libavcodec,libavcodec/adpcm.c,adpcm_decode_frame
0a709e2a10b8288a0cc383547924ecfe285cef89,,libavcodec,libavcodec/dnxhd_parser.c,dnxhd_find_frame_end
d85b3c4fff4c4b255232fcc01edbd57f19d60998,,libavcodec,libavcodec/vp56.c,ff_vp56_decode_frame
84afc6b70d24fc0bf686e43138c96cf60a9445fe,,libavcodec,libavcodec/mjpegdec.c,
d23b8462b5a4a9da78ed45c4a7a3b35d538df909,,libavcodec,libavcodec/gifdec.c,gif_decode_frame
8c2ea3030af7b40a3c4275696fb5c76cdb80950a,,libavcodec,libavcodec/pictordec.c,decode_frame
8f1457864be8fb9653643519dea1c6492f1dde57,,libavcodec,libavcodec/gifdec.c,gif_read_image
9dd04f6d8cdd1c10c28b2cb4252c1a41df581915,,libavcodec,libavcodec/sanm.c,process_frame_obj
47f4e2d8960ca756ca153ab8e3e93d80449b8c91,,libavcodec,libavcodec/pngdec.c,decode_ihdr_chunk
58cf31cee7a456057f337b3102a03206d833d5e8,,libavcodec,libavcodec/x86/mpegvideodsp.c,gmc_mmx
118e1b0b3370dd1c0da442901b486689efd1654b,,libavcodec,libavcodec/utvideodec.c,decode_frame
2fbb37b51bbea891392ad357baf8f3dff00bac05,n,libavcodec,libavcodec/iff.c,decode_frame_ilbm
e7e5114c506957f40aafd794e06de1a7e341e9d5,,libavcodec,libavcodec/cinepak.c,
6abb9a901fca27da14d4fffbb01948288b5da3ba,n,libavcodec,libavcodec/huffyuv.c,decode_init
7fff64e00d886fde11d61958888c82b461cf99b9,,libavcodec,libavcodec/h264_ps.c,ff_h264_decode_seq_parameter_set
ad002e1a13a8df934bd6cb2c84175a4780ab8942,,libavcodec,libavcodec/cdgraphics.c,cdg_decode_frame
68a0477bc0af026db971ddba22541029a9e8715b,n,libavcodec,libavcodec/error_resilience.c,ff_er_frame_end
5ad7335ebac2b38bb2a1c8df51a500b78461c05a,,libavcodec,libavcodec/indeo5.c,decode_mb_info
296debd213bd6dce7647cedd34eb64e5b94cdc92,,libavcodec,libavcodec/dnxhddec.c,dnxhd_decode_header
1e42736b95065c69a7481d0cf55247024f54b660,,libavcodec,libavcodec/cdxl.c,cdxl_decode_frame
b97a4b658814b2de8b9f2a3bce491c002d34de31,,libavcodec,libavcodec/cbs_av1.c,cbs_av1_read_uvlc
524d0d2cfc7bab1b348f85e7c0369859e63781cf,,libavcodec,libavcodec/sanm.c,process_frame_obj
62c9beda0c189db5cb61fa772057e3af9521f293,n,libavcodec,libavcodec/sanm.c,old_codec47
1d3a3b9f8907625b361420d48fe05716859620ff,,libavcodec,libavcodec/rawdec.c,raw_decode
550f3e9df3410b3dd975e590042c0d83e20a8da3,,libavcodec,libavcodec/on2avc.c,on2avc_decode_init
75422280fbcdfbe9dc56bde5525b4d8b280f1bc5,,libavcodec,libavcodec/jpeg2000dwt.c,ff_dwt_decode
9d3032b960ae03066c008d6e6774f68b17a1d69d,,libavcodec,libavcodec/alsdec.c,read_var_block_data
4ea4d2f438c9a7eba37980c9a87be4b34943e4d5,,libavcodec,libavcodec/h264_slice.c,h264_slice_header_init
4f1279154ee9baf2078241bf5619774970d18b25,,libavcodec,libavcodec/shorten.c,read_header
f4fb841ad13bab66d4fb0c7ff2a94770df7815d8,n,libavcodec,libavcodec/sanm.c,process_frame_obj
8a6449167a6da8cb747cfe3502ae86ffaac2ed48,,libavcodec,libavcodec/utils.c,avcodec_decode_audio4
43c6b45a53a186a187f7266e4d6bd3c2620519f1,n,libavcodec,libavcodec/utils.c,avcodec_decode_audio4
89f903b3d5ec38c9c5d90fba7e626fa0eda61a32,,libavcodec,libavcodec/sp5xdec.c,sp5x_decode_frame
8d3c99e825317b7efda5fd12e69896b47c700303,,libavcodec,libavcodec/mmvideo.c,mm_decode_inter
d08d4a8c7387e758d439b0592782e4cfa2b4d6a4,,libavcodec,libavcodec/vc1_block.c,vc1_put_blocks_clamped
951cbea56fdc03ef96d07fbd7e5bed755d42ac8a,,libavcodec,libavcodec/mpeg12.c,mpeg_decode_frame
dabea74d0e82ea80cd344f630497cafcb3ef872c,,libavcodec,libavcodec/vp8.c,update_dimensions
d4a731b84a08f0f3839eaaaf82e97d8d9c67da46,,libavcodec,libavcodec/faxcompr.c,decode_uncompressed
fd4f4923cce6a2cbf4f48640b4ac706e614a1594,n,libavcodec,libavcodec/alac.c,lpc_prediction
25715064c2ef4978672a91f8c856f3e8809a7c45,,libavcodec,libavcodec/cavsdec.c,decode_pic
2fc108f60f98cd00813418a8754a46476b404a3c,,libavcodec,libavcodec/mpeg4videodec.c,ff_mpeg4_decode_picture_header
be818df547c3b0ae4fadb50fd210139a8636706a,n,libavcodec,libavcodec/wavpack.c,wavpack_decode_frame
f52fbf4f3ed02a7d872d8a102006f29b4421f360,,libavcodec,libavcodec/dfa.c,decode_dds1
7fa6db2545643efb4fe2e0bb501fa50af35a6330,,libavcodec,libavcodec/mmvideo.c,mm_decode_inter
1f41cffe1e3e79620f587545bdfcbd7e6e68ed29,n,libavcodec,libavcodec/mjpegdec.c,mjpeg_decode_scan_progressive_ac
ea38e5a6b75706477898eb1e6582d667dbb9946c,,libavcodec,libavcodec/hevc_ps.c,ff_hevc_decode_nal_sps
e07ac727c1cc9eed39e7f9117c97006f719864bd,,libavcodec,libavcodec/g2meet.c,g2m_init_buffers
821a5938d100458f4d09d634041b05c860554ce0,,libavcodec,libavcodec/g2meet.c,g2m_init_buffers
894995c41e0795c7a44f81adc4838dedc3932e65,,libavcodec,libavcodec/htmlsubtitles.c,rstrip_spaces_buf
47e462eecc0a47ad40f59376199f93f227e21d13,n,libavcodec,libavcodec/aacdec.c,aac_decode_init
2a7063de547b1d8fb1cef523469390fb59fb2c50,,libavcodec,libavcodec/wmalosslessdec.c,decode_ac_filter
ba775a54bc2136ec5da85385a923b05ee6fab159,,libavcodec,libavcodec/indeo3.c,decode_cell_data
abee0a1c60612e8638640a8a3738fffb65e16dbf,,libavcodec,libavcodec/utils.c,
1df49142bab1b7bccd11392aa9e819e297d21a6e,,libavcodec,libavcodec/avs.c,avs_decode_init
105654e376a736d243aef4a1d121abebce912e6b,,libavcodec,libavcodec/utils.c,avcodec_align_dimensions2
68e48ed72e0597ae61bc3e9e6e6d9edcb1a00073,n,libavcodec,libavcodec/movtextdec.c,mov_text_decode_frame
8b0e96e1f21b761ca15dbb470cd619a1ebf86c3e,,libavcodec,libavcodec/mmvideo.c,mm_decode_intra
9decfc17bb76da34734296048d390b176abf404c,,libavcodec,libavcodec/h264_sei.c,ff_h264_decode_sei
2c16bf2de07c68513072bf3cc96401d2c6291a3e,n,libavcodec,libavcodec/vorbisdec.c,vorbis_parse_setup_hdr_floors
2c22701c371c2f3dea21fcdbb97c981939fb77af,,libavcodec,libavcodec/ac3dec.c,ac3_decode_frame
9929991da7b843e7d80154fcacc4e80579b86a2d,n,ffserver,ffserver.c,prepare_sdp_description
668494acd8b20f974c7722895d4a6a14c1005f1e,,ffmpeg,ffmpeg.c,codec_get_buffer
